"Winner","B_current_win_streak","B_Reach_cms","R_losses","B_current_lose_streak","title_bout","R_win_by_Submission","R_win_by_Decision_Split","weight_class"
"Blue",3,170.18,6,0,1,0,1,1
"Blue",4,180.34,4,0,1,1,2,3
"Blue",0,177.8,4,0,1,0,0,4
"Blue",0,170.18,1,0,1,0,0,3
"Red",0,162.56,4,0,1,0,1,12
"Red",0,170.18,1,0,1,0,0,4
"Red",0,162.56,2,1,1,0,0,13
"Blue",1,182.88,2,0,2,0,0,5
"Blue",1,200.66,1,0,1,1,0,5
"Blue",0,180.34,3,2,1,1,1,9
"Blue",0,182.88,3,1,1,5,0,7
"Blue",0,193.04,0,1,1,0,0,6
"Blue",3,182.88,6,0,1,0,0,8
"Red",1,180.34,2,0,1,1,3,1
"Blue",0,177.8,3,1,1,0,0,7
"Red",1,193.04,0,0,1,0,0,9
"Red",2,180.34,3,0,1,2,0,7
"Blue",0,160.02,1,1,1,0,0,13
"Blue",2,203.2,4,0,1,0,2,8
"Red",0,187.96,0,0,2,0,0,7
"Red",0,180.34,10,1,1,2,2,3
"Red",0,165.1,2,1,1,0,0,12
"Red",1,190.5,2,0,1,0,1,8
"Red",1,157.48,0,0,1,1,0,12
"Red",0,172.72,0,0,1,0,0,7
"Red",0,177.8,0,0,1,0,0,7
"Blue",0,177.8,1,1,1,0,0,3
"Red",2,193.04,1,0,1,2,0,8
"Blue",5,187.96,7,0,1,5,0,9
"Red",1,200.66,6,0,1,3,0,6
"Blue",1,167.64,0,0,1,0,1,12
"Red",0,180.34,3,1,1,0,1,9
"Blue",0,170.18,4,0,1,0,0,1
"Blue",1,170.18,6,0,1,2,0,1
"Blue",0,182.88,2,1,1,0,0,3
"Red",0,182.88,0,0,1,0,0,9
"Blue",2,185.42,1,0,1,0,0,9
"Blue",1,160.02,1,0,1,0,1,13
"Red",1,180.34,2,0,1,0,0,4
"Blue",0,180.34,2,1,1,0,0,4
"Red",0,167.64,1,1,1,0,1,12
"Red",1,185.42,2,0,1,0,0,8
"Blue",5,182.88,7,0,2,3,0,9
"Red",0,182.88,4,0,1,0,1,11
"Blue",2,190.5,9,0,1,2,1,5
"Blue",3,203.2,5,0,1,0,0,5
"Red",1,160.02,3,0,1,1,0,13
"Blue",1,177.8,4,0,1,3,0,3
"Blue",0,203.2,2,2,1,0,0,5
"Blue",0,193.04,8,1,1,0,4,6
"Blue",0,175.26,2,1,1,1,1,4
"Blue",0,187.96,11,1,1,4,3,7
"Blue",0,180.34,2,1,1,0,0,3
"Blue",2,170.18,0,0,1,0,1,1
"Red",4,182.88,0,0,1,1,0,7
"Red",1,208.28,6,0,1,0,0,5
"Blue",0,195.58,9,2,1,1,1,9
"Red",0,175.26,0,1,1,0,0,3
